wavelength,fractal_dimension,fraction_of_coating,equi_mobility_dia,mie_epsilon,length_scale_factor,m_real_bc,m_im_bc,m_real_organics,m_im_organics,volume_total,volume_bc,volume_organics,density_bc,density_organics,mass_bc,mass_organics,mass_total,mr_total/bc,mr_nonBC/BC,q_ext,q_abs,q_sca,g,c_geo,c_ext,c_abs,c_sca,ssa,mac_total,mac_bc,mac_organics
660,1.5,0,595.2531798,2,0.095199777,2,0.63,1.47,0,7775441.818,7775441.818,0,1.5,1.1,1.17E-14,0,1.17E-14,1,0,1.2601,1.0929,0.16716,0.53974,47450.50627,0.059792383,0.051858658,0.007931827,0.132656138,4.446363265,4.446363265,0
660,1.5,0,622.2628734,2,0.095199777,2,0.63,1.47,0,8482300.165,8482300.165,0,1.5,1.1,1.27E-14,0,1.27E-14,1,0,1.3006,1.1252,0.17545,0.54222,50284.39444,0.065399883,0.056580001,0.008822397,0.134899277,4.446907051,4.446907051,0
660,1.5,0,673.1575991,2,0.095199777,2,0.63,1.47,0,9896016.859,9896016.859,0,1.5,1.1,1.48E-14,0,1.48E-14,1,0,1.3718,1.1825,0.18927,0.55653,55726.84006,0.076446079,0.065896988,0.010547419,0.137972008,4.439293729,4.439293729,0
660,1.5,0,720.5973253,2,0.095199777,2,0.63,1.47,0,11309733.55,11309733.55,0,1.5,1.1,1.7E-14,0,1.7E-14,1,0,1.4425,1.2361,0.20637,0.56891,60915.20575,0.087870184,0.075297286,0.012571071,0.143064125,4.438494534,4.438494534,0
660,1.5,0,765.2096394,2,0.095199777,2,0.63,1.47,0,12723450.25,12723450.25,0,1.5,1.1,1.91E-14,0,1.91E-14,1,0,1.5057,1.2842,0.22145,0.58527,65891.19699,0.099212375,0.084617475,0.014591606,0.14707445,4.433675538,4.433675538,0
660,1.5,0,807.4520703,2,0.095199777,2,0.63,1.47,0,14137166.94,14137166.94,0,1.5,1.1,2.12E-14,0,2.12E-14,1,0,1.5656,1.3301,0.23552,0.5966,70685.83471,0.110665743,0.094019229,0.016647928,0.150434338,4.433666667,4.433666667,0
660,1.5,5,24.306192,2,0.095199777,2,0.63,1.47,0,15002.47466,14137.16694,865.3077141,1.5,1.1,2.12E-17,9.52E-19,2.22E-17,1.044885867,0.044885867,0.11443,0.11403,0.00039749,0.0036879,735.4154243,0.0000842,0.0000839,0.000000292,0.003473652,3.784681683,3.9545604,88.10257423
660,1.5,5,34.61323747,2,0.095199777,2,0.63,1.47,0,30004.94931,28274.33388,1730.615428,1.5,1.1,4.24E-17,1.9E-18,4.43E-17,1.044885867,0.044885867,0.15029,0.14926,0.001025,0.009199,1167.399218,0.000175448,0.000174246,0.0000012,0.006820148,3.931971301,4.108461241,91.53128915
660,1.5,5,42.56462035,2,0.095199777,2,0.63,1.47,0,45007.42397,42411.50082,2595.923142,1.5,1.1,6.36E-17,2.86E-18,6.65E-17,1.044885867,0.044885867,0.17881,0.17702,0.001784,0.01678,1529.725727,0.00027353,0.000270792,0.00000273,0.009977071,4.073729163,4.256582027,94.83123182
660,1.5,5,49.29098759,2,0.095199777,2,0.63,1.47,0,60009.89862,56548.66776,3461.230857,1.5,1.1,8.48E-17,3.81E-18,8.86E-17,1.044885867,0.044885867,0.19794,0.19538,0.002558,0.02373,1853.130747,0.000366809,0.000362065,0.00000474,0.012923108,4.085109249,4.268472918,95.09614573
660,1.5,5,55.23210895,2,0.095199777,2,0.63,1.47,0,75012.37328,70685.83471,4326.538571,1.5,1.1,1.06E-16,4.76E-18,1.11E-16,1.044885867,0.044885867,0.21542,0.212,0.0034143,0.030296,2150.367746,0.000463232,0.000455878,0.00000734,0.015849503,4.114869756,4.299569251,95.78893247
660,1.5,5,60.61415593,2,0.095199777,2,0.63,1.47,0,90014.84793,84823.00165,5191.846285,1.5,1.1,1.27E-16,5.71E-18,1.33E-16,1.044885867,0.044885867,0.22979,0.22551,0.0042776,0.037269,2428.288229,0.000557996,0.000547603,0.0000104,0.018615257,4.119004712,4.303889808,95.88518899
660,1.5,5,65.57177267,2,0.095199777,2,0.63,1.47,0,105017.3226,98960.16859,6057.153999,1.5,1.1,1.48E-16,6.66E-18,1.55E-16,1.044885867,0.044885867,0.24447,0.23926,0.0052054,0.043755,2691.109861,0.000657896,0.000643875,0.000014,0.021292592,4.151270045,4.337603399,96.63628489
660,1.5,5,70.19284052,2,0.095199777,2,0.63,1.47,0,120019.7972,113097.3355,6922.461713,1.5,1.1,1.7E-16,7.61E-18,1.77E-16,1.044885867,0.044885867,0.2579,0.2518,0.0060975,0.052164,2941.661697,0.000758655,0.00074071,0.0000179,0.023642885,4.178649687,4.366212,97.27364813
660,1.5,5,74.5384923,2,0.095199777,2,0.63,1.47,0,135022.2719,127234.5025,7787.769427,1.5,1.1,1.91E-16,8.57E-18,1.99E-16,1.044885867,0.044885867,0.27094,0.26389,0.0070571,0.0593,3181.957739,0.00086212,0.000839687,0.0000225,0.026046726,4.210680903,4.399680964,98.01929406
660,1.5,5,78.65329555,2,0.095199777,2,0.63,1.47,0,150024.7466,141371.6694,8653.077141,1.5,1.1,2.12E-16,9.52E-18,2.22E-16,1.044885867,0.044885867,0.28054,0.27263,0.0079056,0.068785,3413.496021,0.000957622,0.000930621,0.000027,0.028179939,4.200012125,4.388533309,97.7709385
660,1.5,5,86.31760061,2,0.095199777,2,0.63,1.47,0,180029.6959,169646.0033,10383.69257,1.5,1.1,2.54E-16,1.14E-17,2.66E-16,1.044885867,0.044885867,0.30041,0.29074,0.0096723,0.086073,3854.667289,0.001157981,0.001120706,0.0000373,0.032196997,4.214906432,4.40409616,98.11765901
660,1.5,5,93.3774957,2,0.095199777,2,0.63,1.47,0,210034.6452,197920.3372,12114.308,1.5,1.1,2.97E-16,1.33E-17,3.1E-16,1.044885867,0.044885867,0.31909,0.30775,0.011341,0.10603,4271.870625,0.001363111,0.001314668,0.0000484,0.035541697,4.238045519,4.428273865,98.65630752
660,1.5,5,99.95812827,2,0.095199777,2,0.63,1.47,0,240039.5945,226194.6711,13844.92343,1.5,1.1,3.39E-16,1.52E-17,3.55E-16,1.044885867,0.044885867,0.3358,0.32286,0.012938,0.12613,4669.596873,0.001568051,0.001507626,0.0000604,0.038528886,4.252566844,4.443446993,98.99434549
660,1.5,5,106.1465545,2,0.095199777,2,0.63,1.47,0,270044.5438,254469.0049,15575.53885,1.5,1.1,3.82E-16,1.71E-17,3.99E-16,1.044885867,0.044885867,0.35122,0.33678,0.014442,0.14674,5051.043062,0.001774027,0.00170109,0.0000729,0.041119526,4.265130838,4.456574932,99.28681928
660,1.5,5,112.0062409,2,0.095199777,2,0.63,1.47,0,300049.4931,282743.3388,17306.15428,1.5,1.1,4.24E-16,1.9E-17,4.43E-16,1.044885867,0.044885867,0.36491,0.34898,0.015929,0.16458,5418.587175,0.001977297,0.001890979,0.0000863,0.043651859,4.267112638,4.458645687,99.33295308
660,1.5,5,120.281302,2,0.095199777,2,0.63,1.47,0,345056.9171,325154.8396,19902.07743,1.5,1.1,4.88E-16,2.19E-17,5.1E-16,1.044885867,0.044885867,0.38511,0.367,0.018105,0.1891,5947.730635,0.002290531,0.002182817,0.000107684,0.047012542,4.28318684,4.475441394,99.70714004
660,1.5,5,128.0422602,2,0.095199777,2,0.63,1.47,0,390064.341,367566.3405,22498.00057,1.5,1.1,5.51E-16,2.47E-17,5.76E-16,1.044885867,0.044885867,0.40108,0.38092,0.020159,0.2086,6454.287395,0.002588686,0.002458567,0.000130112,0.050261793,4.267624768,4.459180804,99.34487479
660,1.5,5,135.3754468,2,0.095199777,2,0.63,1.47,0,435071.765,409977.8413,25093.92371,1.5,1.1,6.15E-16,2.76E-17,6.43E-16,1.044885867,0.044885867,0.41914,0.39695,0.022189,0.22649,6941.682292,0.002909537,0.002755501,0.000154029,0.052939352,4.288249453,4.480731247,99.82499123
